abilities,Plural Noun
ability,Noun
able,Adjective or Noun
abler,Adjective
ablest,Adjective
ably,Adverb
about,Preposition or Adverb or Adjective
above,Preposition or Adverb or Noun or Adjective
absolute,Adjective or Noun
absolutely,Adverb
abuse,Verb (usu participle) or Verb (transitive) or Noun
abused,Verb (usu participle)
abuser,Noun
abusers,Unknown
abuses,Unknown
abusing,Verb (usu participle)
abusive,Adjective
accent,Noun or Verb (usu participle) or Verb (transitive)
accented,Unknown
accenting,Unknown
accents,Unknown
accept,Verb (usu participle) or Verb (intransitive)
acceptable,Adjective
acceptably,Adverb
acceptance,Noun
accepted,Adjective
accepting,Unknown
accepts,Unknown
accident,Noun
accidental,Adjective or Noun
accidentally,Adverb
accidents,Unknown
accommodations,Unknown
according,Adjective
account,Noun or Verb (transitive)
accounted,Unknown
accounting,Noun
accounts,Unknown
accuracies,Plural Noun
achiever,Noun
achievers,Unknown
acid,Noun or Adjective
acidic,Adjective
acidity,Noun
acids,Unknown
across,Preposition or Adverb
act,Noun or Verb (intransitive) or Verb (transitive)
acted,Unknown
acting,Adjective or Noun
action,Noun or Interjection
actions,Unknown
active,Adjective or Noun
actively,Adverb
activities,Plural Noun
activity,Noun
actor,Noun
actors,Unknown
actress,Noun
actresses,Unknown
acts,Unknown
actual,Adjective
actually,Adverb
ad,Noun
add,Verb (usu participle) or Verb (transitive) or Verb (intransitive)
added,Unknown
adding,Unknown
addition,Noun
additional,Adjective
additionally,Adverb
additions,Unknown
additive,Adjective or Noun
additives,Unknown
address,Noun or Verb (usu participle) or Verb (transitive)
addressed,Verb (usu participle)
addresses,Unknown
addressing,Verb (usu participle)
adds,Unknown
adjustable,Adjective
admission,Noun
admissions,Unknown
admit,Verb (usu participle) or Verb (intransitive)
admits,Unknown
admitted,Verb (usu participle)
admittedly,Adverb
admitting,Verb (usu participle)
adopt,Verb (transitive)
adopted,Adjective
adopter,Noun
adopters,Unknown
adopting,Unknown
adoption,Noun
adoptions,Unknown
adoptive,Adjective
adopts,Unknown
ads,Noun
advance,Verb (usu participle) or Verb (transitive) or Verb (intransitive) or Noun
advanced,Adjective
advancement,Noun
advances,Plural Noun
advancing,Verb (usu participle)
advantage,Noun or Verb (transitive)
advantaged,Verb (usu participle)
advantageous,Adjective
advantageously,Adverb
advantages,Unknown
advert,Verb (intransitive) or Noun
advertise,Verb (usu participle) or Verb (intransitive)
advertised,Verb (usu participle)
advertisement,Noun
advertisements,Unknown
advertises,Unknown
advertising,Noun
advertize,Verb (transitive) or Verb (intransitive)
advertized,Verb (transitive) or Verb (intransitive)
advertizement,Unknown
advertizements,Unknown
advertizes,Unknown
advertizing,Verb (transitive) or Verb (intransitive)
adverts,Unknown
advice,Noun
advisable,Adjective
advise,Verb (usu participle) or Verb (transitive) or Verb (intransitive)
advised,Adjective
adviser,Noun
advisers,Unknown
advises,Unknown
advising,Verb (usu participle)
advisor,Unknown
advisors,Unknown
advisory,Adjective
affair,Noun
affairs,Plural Noun
afford,Verb (usu participle)
affordable,Adjective
afforded,Unknown
affording,Unknown
affords,Unknown
afraid,Adjective
Africa,Noun
African,Adjective or Noun
Africans,Unknown
after,Preposition or Adverb or Conjunction or Adjective
afternoon,Noun
afternoons,Adverb
afterward,Adverb
afterwards,Adverb
again,Adverb
against,Preposition
age,Noun or Verb (usu participle)
aged,Adjective
ageing,Verb (usu participle)
agencies,Plural Noun
agency,Noun
agenda,Noun
agendas,Unknown
agent,Noun
agents,Unknown
ages,Unknown
aging,Verb (usu participle)
ago,Adverb
agree,Verb (usu participle) or Verb (transitive)
agreeable,Adjective
agreeably,Adverb
agreed,Adjective
agreeing,Verb (usu participle)
agreement,Noun
agreements,Unknown
agrees,Unknown
ahead,Adverb
aim,Verb (usu participle) or Verb (transitive) or Verb (intransitive) or Noun
aimed,Unknown
aiming,Unknown
aims,Unknown
air,Noun or Verb (usu participle) or Verb (transitive)
aircraft,Noun
airless,Adjective
airport,Noun
airports,Unknown
airy,Adjective
alarm,Verb (transitive) or Noun
alarmed,Unknown
alarming,Unknown
alarmingly,Adverb
alarms,Unknown
alive,Adjective
all,Definite Article or Adverb or Noun
allow,Verb (transitive) or Verb (intransitive)
allowable,Adjective
allowance,Noun or Verb (transitive)
allowances,Unknown
allowed,Adjective
allowing,Unknown
allows,Unknown
almost,Adverb
alone,Adverb
along,Preposition or Adverb
already,Adverb
alright,Adverb
also,Adverb
alternative,Noun or Adjective
although,Conjunction
altogether,Adverb or Noun
always,Adverb
am,Verb (usu participle)
amaze,Verb (transitive) or Noun
amazed,Adjective or Verb (usu participle)
amazement,Noun
amazes,Unknown
amazing,Adjective
amazingly,Adverb
America,Noun
American,Adjective or Noun
Americanization,Noun
Americanized,Verb (transitive) or Verb (intransitive)
Americanizing,Verb (transitive) or Verb (intransitive)
Americans,Unknown
among,Preposition
amongst,Preposition
amount,Noun or Verb (intransitive)
amounted,Unknown
amounting,Unknown
amounts,Unknown
an,Definite Article or Conjunction
and,Conjunction or Noun
angle,Noun or Verb (usu participle) or Verb (transitive) or Verb (intransitive)
angles,Unknown
animal,Noun or Adjective
animals,Unknown
announce,Verb (transitive) or Verb (intransitive)
announced,Verb (usu participle)
announcement,Noun or Verb (transitive)
announcements,Unknown
announcer,Noun
announcers,Unknown
announces,Unknown
announcing,Verb (usu participle)
annoy,Verb (usu participle)
annoyance,Noun
annoyances,Unknown
annoyed,Unknown
annoying,Adjective
annoys,Unknown
annuals,Unknown
another,Definite Article
answer,Noun or Verb (usu participle) or Verb (transitive) or Verb (intransitive)
answerable,Adjective
answered,Unknown
answering,Unknown
answers,Unknown
anti,Adjective or Noun
antidepressant,Noun or Adjective
antidepressants,Unknown
antisocial,Adjective
antitank,Adjective
any,Definite Article or Adverb
anybody,Pronoun or Noun
anyhow,Adverb
anymore,Unknown
anyone,Pronoun
anything,Pronoun or Noun or Adverb
anyway,Adverb
anywhere,Adverb
apart,Adverb
apologetic,Adjective
apologetically,Adverb
apologies,Plural Noun
apologise,Verb (intransitive)
apologised,Verb (intransitive)
apologises,Unknown
apologising,Verb (intransitive)
apologist,Noun
apologists,Unknown
apologize,Verb (intransitive)
apologized,Verb (intransitive)
apologizes,Unknown
apologizing,Verb (intransitive)
apology,Noun
appeal,Noun or Verb (intransitive)
appealed,Unknown
appealing,Adjective
appeals,Unknown
appear,Verb (intransitive)
appearance,Noun
appearances,Unknown
appeared,Unknown
appearing,Unknown
appears,Unknown
apple,Noun
apples,Noun
applicable,Adjective
applicant,Noun
applicants,Unknown
application,Noun
applications,Unknown
applied,Adjective
applies,Unknown
apply,Verb (usu participle) or Verb (intransitive) or Verb (transitive)
applying,Verb (usu participle)
appoint,Verb (usu participle)
appointed,Adjective
appointing,Unknown
appointment,Noun
appointments,Unknown
appoints,Unknown
appreciative,Adjective
appreciatively,Adverb
approval,Noun
approvals,Unknown
approve,Verb (usu participle) or Verb (transitive)
approved,Verb (usu participle)
approves,Unknown
approving,Verb (usu participle)
approvingly,Adverb
are,Verb (usu participle) or Noun
aren(|)t,Unknown
arguable,Adjective
arguably,Unknown
argue,Verb (usu participle) or Verb (intransitive) or Verb (transitive)
argued,Verb (usu participle)
argues,Unknown
arguing,Verb (usu participle)
argument,Noun
arguments,Unknown
arm,Noun or Verb (transitive) or Verb (usu participle)
armed,Adjective
armies,Plural Noun
arms,Plural Noun
army,Noun
around,Preposition or Adverb
arrange,Verb (transitive) or Verb (intransitive)
arranged,Verb (usu participle)
arrangement,Noun
arrangements,Unknown
arranges,Unknown
arranging,Verb (usu participle)
arrival,Noun
arrivals,Unknown
arrive,Verb (intransitive)
arrived,Verb (usu participle)
arrives,Unknown
arriving,Verb (usu participle)
art,Noun or Verb (usu participle)
article,Noun or Verb (transitive)
articles,Unknown
artist,Noun
artistic,Adjective
artistically,Adverb
artists,Unknown
arts,Plural Noun
as,Conjunction or Preposition or Noun
ask,Verb (usu participle) or Verb (transitive)
asked,Unknown
asking,Unknown
asks,Unknown
asleep,Adverb or Adjective
aspects,Unknown
assessment,Noun
assessor,Noun
assessors,Unknown
associate,Verb (usu participle) or Verb (intransitive) or Verb (transitive) or Noun or Adjective
associated,Verb (usu participle)
associates,Unknown
associating,Verb (usu participle)
association,Noun
associations,Unknown
associative,Adjective
associatively,Adverb
